participant_id,secs,eng_qt
03DEQR1O,1647936429,-0.3333333333333333
03DEQR1O,1647936430,-1.0
03DEQR1O,1647936431,0.6000000000000001
03DEQR1O,1647936432,1.0
03DEQR1O,1647936433,1.0
03DEQR1O,1647936434,1.0
03DEQR1O,1647936435,1.0
03DEQR1O,1647936436,1.0
03DEQR1O,1647936437,1.0
03DEQR1O,1647936438,1.0
03DEQR1O,1647936439,1.0
03DEQR1O,1647936440,1.0
03DEQR1O,1647936441,1.0
03DEQR1O,1647936442,1.0
03DEQR1O,1647936443,1.0
03DEQR1O,1647936444,1.0
03DEQR1O,1647936445,1.0
03DEQR1O,1647936446,1.0
03DEQR1O,1647936447,1.0
03DEQR1O,1647936448,1.0
03DEQR1O,1647936449,1.0
03DEQR1O,1647936450,1.0
03DEQR1O,1647936451,1.0
03DEQR1O,1647936452,1.0
03DEQR1O,1647936453,1.0
03DEQR1O,1647936454,1.0
03DEQR1O,1647936455,1.0
03DEQR1O,1647936456,1.0
03DEQR1O,1647936457,1.0
03DEQR1O,1647936458,1.0
03DEQR1O,1647936459,1.0
03DEQR1O,1647936460,1.0
03DEQR1O,1647936461,1.0
03DEQR1O,1647936462,1.0
03DEQR1O,1647936463,0.6000000000000001
03DEQR1O,1647936464,1.0
03DEQR1O,1647936465,1.0
03DEQR1O,1647936466,1.0
03DEQR1O,1647936467,1.0
03DEQR1O,1647936468,1.0
03DEQR1O,1647936469,1.0
03DEQR1O,1647936470,1.0
03DEQR1O,1647936471,1.0
03DEQR1O,1647936472,1.0
03DEQR1O,1647936473,1.0
03DEQR1O,1647936474,1.0
03DEQR1O,1647936475,1.0
03DEQR1O,1647936476,1.0
03DEQR1O,1647936477,1.0
03DEQR1O,1647936478,1.0
03DEQR1O,1647936479,1.0
03DEQR1O,1647936480,1.0
03DEQR1O,1647936481,1.0
03DEQR1O,1647936482,1.0
03DEQR1O,1647936483,1.0
03DEQR1O,1647936484,1.0
03DEQR1O,1647936485,1.0
03DEQR1O,1647936486,1.0
03DEQR1O,1647936487,1.0
03DEQR1O,1647936488,1.0
03DEQR1O,1647936489,1.0
03DEQR1O,1647936490,1.0
03DEQR1O,1647936491,1.0
03DEQR1O,1647936492,1.0
03DEQR1O,1647936493,1.0
03DEQR1O,1647936494,1.0
03DEQR1O,1647936495,1.0
03DEQR1O,1647936496,1.0
03DEQR1O,1647936497,1.0
03DEQR1O,1647936498,1.0
03DEQR1O,1647936499,1.0
03DEQR1O,1647936500,1.0
03DEQR1O,1647936501,1.0
03DEQR1O,1647936502,1.0
03DEQR1O,1647936503,1.0
03DEQR1O,1647936504,1.0
03DEQR1O,1647936505,1.0
03DEQR1O,1647936506,1.0
03DEQR1O,1647936507,1.0
03DEQR1O,1647936508,1.0
03DEQR1O,1647936509,1.0
03DEQR1O,1647936510,1.0
03DEQR1O,1647936511,1.0
03DEQR1O,1647936512,1.0
03DEQR1O,1647936513,1.0
03DEQR1O,1647936514,1.0
03DEQR1O,1647936515,1.0
03DEQR1O,1647936516,1.0
03DEQR1O,1647936517,1.0
03DEQR1O,1647936518,1.0
03DEQR1O,1647936519,1.0
03DEQR1O,1647936520,1.0
03DEQR1O,1647936521,1.0
03DEQR1O,1647936522,1.0
03DEQR1O,1647936523,1.0
03DEQR1O,1647936524,1.0
03DEQR1O,1647936525,1.0
03DEQR1O,1647936526,1.0
03DEQR1O,1647936527,0.3333333333333333
03DEQR1O,1647936528,0.6000000000000001
03DEQR1O,1647936529,0.0
03DEQR1O,1647936530,-1.0
03DEQR1O,1647936531,-1.0
03DEQR1O,1647936532,-1.0
03DEQR1O,1647936533,-1.0
03DEQR1O,1647936534,-1.0
03DEQR1O,1647936535,-1.0
03DEQR1O,1647936536,-1.0
03DEQR1O,1647936537,-1.0
03DEQR1O,1647936538,-0.6666666666666667
03DEQR1O,1647936539,1.0
03DEQR1O,1647936540,1.0
03DEQR1O,1647936541,1.0
03DEQR1O,1647936542,1.0
03DEQR1O,1647936543,1.0
03DEQR1O,1647936544,1.0
03DEQR1O,1647936545,1.0
03DEQR1O,1647936546,1.0
03DEQR1O,1647936547,1.0
03DEQR1O,1647936548,1.0
03DEQR1O,1647936549,1.0
03DEQR1O,1647936550,1.0
03DEQR1O,1647936551,1.0
03DEQR1O,1647936552,1.0
03DEQR1O,1647936553,0.6000000000000001
03DEQR1O,1647936554,1.0
03DEQR1O,1647936555,1.0
03DEQR1O,1647936556,1.0
03DEQR1O,1647936557,0.3333333333333333
03DEQR1O,1647936558,1.0
03DEQR1O,1647936559,1.0
03DEQR1O,1647936560,1.0
03DEQR1O,1647936561,1.0
03DEQR1O,1647936562,0.6000000000000001
03DEQR1O,1647936563,1.0
03DEQR1O,1647936564,1.0
03DEQR1O,1647936565,0.6666666666666667
03DEQR1O,1647936566,0.6666666666666667
03DEQR1O,1647936567,1.0
03DEQR1O,1647936568,0.6666666666666667
03DEQR1O,1647936569,1.0
03DEQR1O,1647936570,1.0
03DEQR1O,1647936571,-1.0
03DEQR1O,1647936572,0.19999999999999996
03DEQR1O,1647936573,1.0
03DEQR1O,1647936574,1.0
03DEQR1O,1647936575,-0.19999999999999996
03DEQR1O,1647936576,-1.0
03DEQR1O,1647936577,-1.0
03DEQR1O,1647936578,-0.6000000000000001
03DEQR1O,1647936579,-0.6666666666666667
03DEQR1O,1647936580,-0.6000000000000001
03DEQR1O,1647936581,-0.3333333333333333
03DEQR1O,1647936582,-0.6666666666666667
03DEQR1O,1647936583,-0.5
03DEQR1O,1647936584,-0.19999999999999996
03DEQR1O,1647936585,1.0
03DEQR1O,1647936586,1.0
03DEQR1O,1647936587,1.0
03DEQR1O,1647936588,1.0
03DEQR1O,1647936589,1.0
03DEQR1O,1647936590,1.0
03DEQR1O,1647936591,1.0
03DEQR1O,1647936592,1.0
03DEQR1O,1647936593,1.0
03DEQR1O,1647936594,1.0
03DEQR1O,1647936595,1.0
03DEQR1O,1647936596,1.0
03DEQR1O,1647936597,1.0
03DEQR1O,1647936598,1.0
03DEQR1O,1647936599,1.0
03DEQR1O,1647936600,1.0
03DEQR1O,1647936601,1.0
03DEQR1O,1647936602,1.0
03DEQR1O,1647936603,1.0
03DEQR1O,1647936604,1.0
03DEQR1O,1647936605,1.0
03DEQR1O,1647936606,1.0
03DEQR1O,1647936607,1.0
03DEQR1O,1647936608,1.0
03DEQR1O,1647936609,1.0
03DEQR1O,1647936610,1.0
03DEQR1O,1647936611,1.0
03DEQR1O,1647936612,1.0
03DEQR1O,1647936613,1.0
03DEQR1O,1647936614,1.0
03DEQR1O,1647936615,1.0
03DEQR1O,1647936616,0.6666666666666667
03DEQR1O,1647936617,1.0
03DEQR1O,1647936618,1.0
03DEQR1O,1647936619,1.0
03DEQR1O,1647936620,1.0
03DEQR1O,1647936621,1.0
03DEQR1O,1647936622,1.0
03DEQR1O,1647936623,1.0
03DEQR1O,1647936624,1.0
03DEQR1O,1647936625,1.0
03DEQR1O,1647936626,1.0
03DEQR1O,1647936627,1.0
03DEQR1O,1647936628,1.0
03DEQR1O,1647936629,1.0
03DEQR1O,1647936630,1.0
03DEQR1O,1647936631,0.0
03DEQR1O,1647936632,0.3333333333333333
03DEQR1O,1647936633,1.0
03DEQR1O,1647936634,1.0
03DEQR1O,1647936635,1.0
03DEQR1O,1647936636,1.0
03DEQR1O,1647936637,1.0
03DEQR1O,1647936638,1.0
03DEQR1O,1647936639,1.0
03DEQR1O,1647936640,1.0
03DEQR1O,1647936641,1.0
03DEQR1O,1647936642,1.0
03DEQR1O,1647936643,1.0
03DEQR1O,1647936644,1.0
03DEQR1O,1647936645,-0.19999999999999996
03DEQR1O,1647936646,-0.3333333333333333
03DEQR1O,1647936647,-0.6666666666666667
03DEQR1O,1647936648,-0.6666666666666667
03DEQR1O,1647936649,-1.0
03DEQR1O,1647936650,-1.0
03DEQR1O,1647936651,-1.0
03DEQR1O,1647936652,-0.3333333333333333
03DEQR1O,1647936653,-1.0
03DEQR1O,1647936654,0.0
03DEQR1O,1647936655,-0.6000000000000001
03DEQR1O,1647936656,-1.0
03DEQR1O,1647936657,-1.0
03DEQR1O,1647936658,-1.0
03DEQR1O,1647936659,-1.0
03DEQR1O,1647936660,-1.0
03DEQR1O,1647936661,-1.0
03DEQR1O,1647936662,-1.0
03DEQR1O,1647936663,0.19999999999999996
03DEQR1O,1647936664,-0.5
03DEQR1O,1647936665,0.0
03DEQR1O,1647936666,1.0
